filename_x,minx,miny,maxx,maxy,west,south,east,north,join_key,filename_y,time1,time2
1111002,14.815407,12.192891,14.905014,12.289329,14.815407,12.192891,14.905014,12.289329,1111002,1111002,2020-06-23 04:46:21+00:00,2020-06-23 04:46:46+00:00
1111002,14.815407,12.192891,14.905014,12.289329,14.815407,12.192891,14.905014,12.289329,1111002,1111002,2020-07-05 04:46:22+00:00,2020-07-05 04:46:47+00:00
1111002,14.815407,12.192891,14.905014,12.289329,14.815407,12.192891,14.905014,12.289329,1111002,1111002,2020-09-15 04:46:26+00:00,2020-09-15 04:46:51+00:00
1111003,43.114643,11.506267,43.197556,11.626008,43.114643,11.506267,43.197556,11.626008,1111003,1111003,2019-11-09 03:00:27+00:00,2019-11-09 03:00:52+00:00
1111003,43.114643,11.506267,43.197556,11.626008,43.114643,11.506267,43.197556,11.626008,1111003,1111003,2019-11-15 02:59:38+00:00,2019-11-15 03:00:07+00:00
1111003,43.114643,11.506267,43.197556,11.626008,43.114643,11.506267,43.197556,11.626008,1111003,1111003,2019-11-27 02:59:37+00:00,2019-11-27 03:00:07+00:00
1111004,-97.487183,28.248747,-95.526123,30.019165,-97.487183,28.248747,-95.526123,30.019165,1111004,1111004,2017-07-24 00:26:18+00:00,2017-07-24 00:26:43+00:00
1111004,-97.487183,28.248747,-95.526123,30.019165,-97.487183,28.248747,-95.526123,30.019165,1111004,1111004,2017-08-05 00:26:19+00:00,2017-08-05 00:26:44+00:00
1111004,-97.487183,28.248747,-95.526123,30.019165,-97.487183,28.248747,-95.526123,30.019165,1111004,1111004,2017-08-29 00:26:20+00:00,2017-08-29 00:26:45+00:00
1111005,48.106384,-17.942155,48.654327,-17.28902,48.106384,-17.942155,48.654327,-17.28902,1111005,1111005,2019-11-15 02:19:00+00:00,2019-11-15 02:19:25+00:00
1111005,48.106384,-17.942155,48.654327,-17.28902,48.106384,-17.942155,48.654327,-17.28902,1111005,1111005,2019-11-27 02:19:00+00:00,2019-11-27 02:19:25+00:00
1111005,48.106384,-17.942155,48.654327,-17.28902,48.106384,-17.942155,48.654327,-17.28902,1111005,1111005,2020-01-26 02:18:57+00:00,2020-01-26 02:19:22+00:00
1111006,46.424789,-16.624997,46.845703,-16.023242,46.424789,-16.624997,46.845703,-16.023242,1111006,1111006,2019-12-02 02:27:05+00:00,2019-12-02 02:27:30+00:00
1111006,46.424789,-16.624997,46.845703,-16.023242,46.424789,-16.624997,46.845703,-16.023242,1111006,1111006,2020-01-19 02:27:03+00:00,2020-01-19 02:27:28+00:00
1111006,46.424789,-16.624997,46.845703,-16.023242,46.424789,-16.624997,46.845703,-16.023242,1111006,1111006,2020-01-31 02:27:03+00:00,2020-01-31 02:27:28+00:00
1111007,84.938049,25.13253,86.319297,25.953722,84.938049,25.13253,86.319297,25.953722,1111007,1111007,2019-07-20 00:11:51+00:00,2019-07-20 00:12:16+00:00
1111007,84.938049,25.13253,86.319297,25.953722,84.938049,25.13253,86.319297,25.953722,1111007,1111007,2019-07-20 00:12:16+00:00,2019-07-20 00:12:41+00:00
1111007,84.938049,25.13253,86.319297,25.953722,84.938049,25.13253,86.319297,25.953722,1111007,1111007,2019-08-01 00:11:51+00:00,2019-08-01 00:12:16+00:00
1111007,84.938049,25.13253,86.319297,25.953722,84.938049,25.13253,86.319297,25.953722,1111007,1111007,2019-08-01 00:12:16+00:00,2019-08-01 00:12:41+00:00
1111007,84.938049,25.13253,86.319297,25.953722,84.938049,25.13253,86.319297,25.953722,1111007,1111007,2019-09-18 00:11:54+00:00,2019-09-18 00:12:19+00:00
1111007,84.938049,25.13253,86.319297,25.953722,84.938049,25.13253,86.319297,25.953722,1111007,1111007,2019-09-18 00:12:19+00:00,2019-09-18 00:12:44+00:00
1111008,-83.61248,13.977715,-83.434296,14.183513,-83.61248,13.977715,-83.434296,14.183513,1111008,1111008,2018-04-17 11:21:08+00:00,2018-04-17 11:21:37+00:00
1111008,-83.61248,13.977715,-83.434296,14.183513,-83.61248,13.977715,-83.434296,14.183513,1111008,1111008,2018-04-17 11:21:37+00:00,2018-04-17 11:22:02+00:00
1111008,-83.61248,13.977715,-83.434296,14.183513,-83.61248,13.977715,-83.434296,14.183513,1111008,1111008,2018-10-14 11:21:17+00:00,2018-10-14 11:21:46+00:00
1111008,-83.61248,13.977715,-83.434296,14.183513,-83.61248,13.977715,-83.434296,14.183513,1111008,1111008,2018-10-14 11:21:46+00:00,2018-10-14 11:22:11+00:00
1111008,-83.61248,13.977715,-83.434296,14.183513,-83.61248,13.977715,-83.434296,14.183513,1111008,1111008,2020-08-16 11:21:27+00:00,2020-08-16 11:21:56+00:00
1111008,-83.61248,13.977715,-83.434296,14.183513,-83.61248,13.977715,-83.434296,14.183513,1111008,1111008,2020-08-16 11:21:56+00:00,2020-08-16 11:22:21+00:00
1111009_1,67.398376,25.557309,69.656067,28.625514,67.398376,25.557309,69.656067,28.625514,1111009,1111009,2022-06-07 01:25:21+00:00,2022-06-07 01:25:46+00:00
1111009_1,67.398376,25.557309,69.656067,28.625514,67.398376,25.557309,69.656067,28.625514,1111009,1111009,2022-06-07 01:25:46+00:00,2022-06-07 01:26:11+00:00
1111009_1,67.398376,25.557309,69.656067,28.625514,67.398376,25.557309,69.656067,28.625514,1111009,1111009,2022-06-07 01:26:11+00:00,2022-06-07 01:26:36+00:00
1111009_1,67.398376,25.557309,69.656067,28.625514,67.398376,25.557309,69.656067,28.625514,1111009,1111009,2022-06-19 01:25:21+00:00,2022-06-19 01:25:46+00:00
1111009_1,67.398376,25.557309,69.656067,28.625514,67.398376,25.557309,69.656067,28.625514,1111009,1111009,2022-06-19 01:25:46+00:00,2022-06-19 01:26:11+00:00
1111009_1,67.398376,25.557309,69.656067,28.625514,67.398376,25.557309,69.656067,28.625514,1111009,1111009,2022-06-19 01:26:11+00:00,2022-06-19 01:26:36+00:00
1111009_1,67.398376,25.557309,69.656067,28.625514,67.398376,25.557309,69.656067,28.625514,1111009,1111009,2022-09-11 01:25:26+00:00,2022-09-11 01:25:51+00:00
1111009_1,67.398376,25.557309,69.656067,28.625514,67.398376,25.557309,69.656067,28.625514,1111009,1111009,2022-09-11 01:25:51+00:00,2022-09-11 01:26:16+00:00
1111009_1,67.398376,25.557309,69.656067,28.625514,67.398376,25.557309,69.656067,28.625514,1111009,1111009,2022-09-11 01:26:16+00:00,2022-09-11 01:26:41+00:00
1111009_2,67.398376,25.557309,69.656067,28.625514,67.398376,25.557309,69.656067,28.625514,1111009,1111009,2022-06-07 01:25:21+00:00,2022-06-07 01:25:46+00:00
