filename,latest_timestamp,reference_date,minx,miny,maxx,maxy,west,south,east,north,stac_item_id,input_number,emsr_id,event,activation_time,event_type,affected_countries,activation_reason,url,center_lon,center_lat,geometry,index_right,continent
118,2015-02-03 06:09:22+00:00,2015/2/3,-656735,4983455,91425,5386655,-5.899550881,40.80386704970545,0.8212847485062724,43.48869816260177,event_118_20150203,118.0,EMSR118,Flood in Spain,"02/02/2015, 14:30",Flood,Spain,Heavy rains started on 31 January 2015 and have caused floods in the Ebro river basin affecting many villages in the Zaragoza province.,https://mapping.emergency.copernicus.eu/activations/EMSR118/,-2.5391330662468636,42.14628260615361,POINT (-2.5391330662468636 42.14628260615361),132.0,Europe
130,2015-09-13 23:33:08+00:00,2015/9/13,10491745,1817745,10695585,2030545,94.24894890584568,16.112417373897674,96.08007478,17.940155171397237,event_130_20150913,130.0,EMSR130,Flood in Myanmar,"07/08/2015, 12:59",Flood,Myanmar/Burma,"Heavy monsoon rain caused river overflow and flooding in Myanmar since August 1st, 2015.",https://mapping.emergency.copernicus.eu/activations/EMSR130/,95.16451184292285,17.026286272647454,POINT (95.16451184292285 17.026286272647454),93.0,Asia
147,2015-12-10 06:22:30+00:00,2015/12/10,-396005,7029685,13915,7390325,-3.557373441,53.25166239245966,0.1250005717852314,55.146367311026914,event_147_20151210,147.0,EMSR147,Flood in Cumbria,"05/12/2015, 23:14",Flood,United Kingdom,"Severe weather and heavy rain cause flood in the area of Cumbria in the United Kingdom. Most affected are the towns of Carlisle, Kendal, Appleby, Keswick and Cockermouth.",https://mapping.emergency.copernicus.eu/activations/EMSR147/,-1.7161864346073843,54.199014851743286,POINT (-1.7161864346073843 54.199014851743286),143.0,Europe
174,2016-08-07 16:32:55+00:00,2016/8/7,2114725,4981595,2488805,5266075,18.99689789209655,40.79121821,22.35731570693085,42.69772431980181,event_174_20160807,174.0,EMSR174,Flood in Skopje,"08/08/2016, 11:44",Flood,North Macedonia,"On 6 August 2016, the city of Skopje has been affected by heavy rain, lightening and strong winds. Large parts of the city have been flooded, particularly in the northern suburbs. The most affected areas are the villages of Stajkovci and Haracinovo, as well as Skopje's suburbs of Butel, Cento and upper Lisice. The water level reached 1.5 meters, with houses and streets under water. More than 1.000 people are evacuated and 22 victims have been confirmed by governmental authorities.",https://mapping.emergency.copernicus.eu/activations/EMSR174/,20.6771067995137,41.7444712649009,POINT (20.6771067995137 41.7444712649009),171.0,Europe
205,2017-05-30 00:25:01+00:00,2017/5/30,8888565,660105,9070005,785545,79.84733793389833,5.919266438,81.47724118540481,7.038897819,event_205_20170530,205.0,EMSR205,Floods in Sabaragamuwa/West- Sri Lanka,"31/05/2017, 10:33",Flood,Sri Lanka,Monsoon rains caused severe flooding and mudslides in western and southern Sri Lanka. The death toll has climbed to more than 200 with 94 people still missing in the country___s worst torrential rains since 2003 that displaced nearly half a million people.,https://mapping.emergency.copernicus.eu/activations/EMSR205/,80.66228955965157,6.4790821285,POINT (80.66228955965157 6.4790821285),138.0,Asia
267,2018-02-02 04:51:50+00:00,2018/2/2,2218045,7240515,2619005,7583235,19.92503724364884,54.3698501640484,23.526922206854472,56.12447440429267,event_267_20180202,267.0,EMSR267,Flood in Silute- Lithuania,"01/02/2018, 15:42",Flood,Lithuania,"Bad weather conditions are affecting Silute municipality, in Lithuania. The emergency situation was declared on 31/01/2018 after the firsts flooded areas around Rusne that affected 6 villages. Due to the declared emergency, the Fire and Rescue Department under the Ministry of Interior of the Republic of Lithuania activated the Copernicus EMS Rapid Mapping Service.",https://mapping.emergency.copernicus.eu/activations/EMSR267/,21.725979725251655,55.247162284170535,POINT (21.725979725251655 55.247162284170535),118.0,Europe
273,2018-03-11 16:41:26+00:00,2018/3/11,1867355,4887185,2277275,5384465,16.77473537377009,40.14602513816288,20.457109386432837,43.47442343930681,event_273_20180311,273.0,EMSR273,Flood in North Western Albania,"13/03/2018, 11:45",Flood,Albania,Heavy rain and melting snow have caused flooding and landslides in Albania over the last few days._x000D_ Shkod√_r County in the north west of the country is the worst affected area where the Drin and Bojana rivers have overflowed,https://mapping.emergency.copernicus.eu/activations/EMSR273/,18.615922380101463,41.810224288734844,POINT (18.615922380101463 41.810224288734844),,
275,2018-03-22 16:49:39+00:00,2018/3/22,1562535,5479975,1954535,5766695,14.036490724716964,44.09383585677363,17.557886638465487,45.914729021763975,event_275_20180322,275.0,EMSR275,Floods in Central Croatia,"23/03/2018, 14:30",Flood,Croatia,"Floods in central Croatia have been caused by the melting of deep snow, which fell in late February and early March, due to heavy rain in recent days. Much damage has been reported.",https://mapping.emergency.copernicus.eu/activations/EMSR275/,15.797188681591226,45.004282439268806,POINT (15.797188681591226 45.004282439268806),126.0,Europe
277,2018-03-27 16:08:27+00:00,2018/3/27,2790765,4839255,3198445,5338775,25.06986853885816,39.81610476698007,28.73212028915663,43.17584064,event_277_20180327,277.0,EMSR277,Flood in Thrace- Greece,"29/03/2018, 11:27",Flood,Greece,"Due to extensive rainfall and snow-melt of the last few days, and also due to large amounts of water that was released from dams in rivers Evros and Ardas, many areas of Evros Regional Unit have been flooded. _x000D_ Extensive damages are reported in agricultural land, road and railway network._x000D_ Many embankments across Evros river, broke, causing further problems._x000D_ The Regional Unit of Evros has been declared in a state of emergency _x000D_",https://mapping.emergency.copernicus.eu/activations/EMSR277/,26.900994414007393,41.49597270349003,POINT (26.900994414007393 41.49597270349003),124.0,Asia
279,2018-04-19 06:01:57+00:00,2018/4/19,-170825,4734495,315255,5251935,-1.534547084,39.08946653233718,2.831983848950997,42.60430057086752,event_279_20180419,279.0,EMSR279,Flood in the Ebro river basin- Spain,"13/04/2018, 09:31",Flood,Spain,"Since 12th April 2018, an extraordinary flood event is occurring in the Ebro basin due to the snow that is melting in the Pyrenees. The firsts flooded areas were registered in Castej√_n (Navarra) and the peak in Zaragoza city is foreseen on 15th April around 12:00 UTC.",https://mapping.emergency.copernicus.eu/activations/EMSR279/,0.6487183824754986,40.846883551602346,POINT (0.6487183824754986 40.846883551602346),132.0,Europe
