src_path,src_path_stac_compat,dst_path,layer_type,event_id,resampling,blocksize,compress,status,message,converted_at
/home/NAS/homes/chunen-10029/bigdata/final/S2_aoi_modify/1111002/1111002_20200622T093724.tif,/home/chunen/nas/bigdata/final/S2_aoi_modify/1111002/1111002_20200622T093724.tif,KuroSiwo_COG_V8/unknown_event/s2/1111002_20200622T093724_cog.tif,s2,unknown_event,bilinear,256,DEFLATE,ok,gdal_translate COG 成功,2026-05-21T21:01:09.142475
/home/NAS/homes/chunen-10029/bigdata/final/S2_aoi_modify/1111002/1111002_20200707T093720.tif,/home/chunen/nas/bigdata/final/S2_aoi_modify/1111002/1111002_20200707T093720.tif,KuroSiwo_COG_V8/unknown_event/s2/1111002_20200707T093720_cog.tif,s2,unknown_event,bilinear,256,DEFLATE,ok,gdal_translate COG 成功,2026-05-21T21:01:09.453719
/home/NAS/homes/chunen-10029/bigdata/final/S2_aoi_modify/1111002/1111002_20200915T093720.tif,/home/chunen/nas/bigdata/final/S2_aoi_modify/1111002/1111002_20200915T093720.tif,KuroSiwo_COG_V8/unknown_event/s2/1111002_20200915T093720_cog.tif,s2,unknown_event,bilinear,256,DEFLATE,ok,gdal_translate COG 成功,2026-05-21T21:01:09.741162
/home/NAS/homes/chunen-10029/bigdata/final/S2_aoi_modify/1111003/1111003_20191107T074645.tif,/home/chunen/nas/bigdata/final/S2_aoi_modify/1111003/1111003_20191107T074645.tif,KuroSiwo_COG_V8/unknown_event/s2/1111003_20191107T074645_cog.tif,s2,unknown_event,bilinear,256,DEFLATE,ok,gdal_translate COG 成功,2026-05-21T21:01:10.079921
/home/NAS/homes/chunen-10029/bigdata/final/S2_aoi_modify/1111003/1111003_20191117T074639.tif,/home/chunen/nas/bigdata/final/S2_aoi_modify/1111003/1111003_20191117T074639.tif,KuroSiwo_COG_V8/unknown_event/s2/1111003_20191117T074639_cog.tif,s2,unknown_event,bilinear,256,DEFLATE,ok,gdal_translate COG 成功,2026-05-21T21:01:10.517667
/home/NAS/homes/chunen-10029/bigdata/final/S2_aoi_modify/1111004/1111004_20170723T170538.tif,/home/chunen/nas/bigdata/final/S2_aoi_modify/1111004/1111004_20170723T170538.tif,KuroSiwo_COG_V8/unknown_event/s2/1111004_20170723T170538_cog.tif,s2,unknown_event,bilinear,256,DEFLATE,ok,gdal_translate COG 成功,2026-05-21T21:01:55.216453
/home/NAS/homes/chunen-10029/bigdata/final/S2_aoi_modify/1111004/1111004_20170805T171528.tif,/home/chunen/nas/bigdata/final/S2_aoi_modify/1111004/1111004_20170805T171528.tif,KuroSiwo_COG_V8/unknown_event/s2/1111004_20170805T171528_cog.tif,s2,unknown_event,bilinear,256,DEFLATE,ok,gdal_translate COG 成功,2026-05-21T21:02:18.539619
/home/NAS/homes/chunen-10029/bigdata/final/S2_aoi_modify/1111004/1111004_20170828T172538.tif,/home/chunen/nas/bigdata/final/S2_aoi_modify/1111004/1111004_20170828T172538.tif,KuroSiwo_COG_V8/unknown_event/s2/1111004_20170828T172538_cog.tif,s2,unknown_event,bilinear,256,DEFLATE,ok,gdal_translate COG 成功,2026-05-21T21:03:03.132618
/home/NAS/homes/chunen-10029/bigdata/final/S2_aoi_modify/1111005/1111005_20191117T070434.tif,/home/chunen/nas/bigdata/final/S2_aoi_modify/1111005/1111005_20191117T070434.tif,KuroSiwo_COG_V8/unknown_event/s2/1111005_20191117T070434_cog.tif,s2,unknown_event,bilinear,256,DEFLATE,ok,gdal_translate COG 成功,2026-05-21T21:03:07.814780
/home/NAS/homes/chunen-10029/bigdata/final/S2_aoi_modify/1111005/1111005_20191127T070432.tif,/home/chunen/nas/bigdata/final/S2_aoi_modify/1111005/1111005_20191127T070432.tif,KuroSiwo_COG_V8/unknown_event/s2/1111005_20191127T070432_cog.tif,s2,unknown_event,bilinear,256,DEFLATE,ok,gdal_translate COG 成功,2026-05-21T21:03:12.576247
/home/NAS/homes/chunen-10029/bigdata/final/S2_aoi_modify/1111005/1111005_20200126T070426.tif,/home/chunen/nas/bigdata/final/S2_aoi_modify/1111005/1111005_20200126T070426.tif,KuroSiwo_COG_V8/unknown_event/s2/1111005_20200126T070426_cog.tif,s2,unknown_event,bilinear,256,DEFLATE,ok,gdal_translate COG 成功,2026-05-21T21:03:17.259403
/home/NAS/homes/chunen-10029/bigdata/final/S2_aoi_modify/1111006/1111006_20191130T071420.tif,/home/chunen/nas/bigdata/final/S2_aoi_modify/1111006/1111006_20191130T071420.tif,KuroSiwo_COG_V8/unknown_event/s2/1111006_20191130T071420_cog.tif,s2,unknown_event,bilinear,256,DEFLATE,ok,gdal_translate COG 成功,2026-05-21T21:03:20.288749
